protocol,network,contract_address,source,status,contract_name,abi_path
orderly_bridge,abstract,,not-found,skip,Unknown,
stargate_v2,abstract,,not-found,skip,Unknown,
symbiosis,abstract,,not-found,skip,Unknown,
logx_v2,abstract,,not-found,skip,Unknown,
vertex_perps,abstract,,not-found,skip,Unknown,
mondrian_swap,abstract,,not-found,skip,Unknown,
noxa,abstract,,not-found,skip,Unknown,
reservoir_tools_amm,abstract,,not-found,skip,Unknown,
reservoir_tools_clmm,abstract,,not-found,skip,Unknown,
witty,abstract,,not-found,skip,Unknown,
zoo_fun,abstract,,not-found,skip,Unknown,
zerolend_lending,abstract,,not-found,skip,Unknown,
sablier_flow,abstract,,not-found,skip,Unknown,
sablier_lockup,abstract,,not-found,skip,Unknown,
gacha,abstract,,not-found,skip,Unknown,
myriad_markets,abstract,,not-found,skip,Unknown,
portal,acala,,not-found,skip,Unknown,
acala_dollar,acala,,not-found,skip,Unknown,
gate,acala,,not-found,skip,Unknown,
acala_swap,acala,,not-found,skip,Unknown,
starlay_finance,acala,,not-found,skip,Unknown,
acala_lcdot,acala,,not-found,skip,Unknown,
acala_liquid_staking,acala,,not-found,skip,Unknown,
taiga_acala,acala,,not-found,skip,Unknown,
acala_euphrates,acala,,not-found,skip,Unknown,
awaken_swap,aelf,,not-found,skip,Unknown,
superhero_dex,aeternity,,not-found,skip,Unknown,
axelar,agoric,,not-found,skip,Unknown,
inter_protocol,agoric,,not-found,skip,Unknown,
gate,agoric,,not-found,skip,Unknown,
bitfi_btc,ailayer,,not-found,skip,Unknown,
desyn_basis_trading,ailayer,,not-found,skip,Unknown,
gate,ailayer,,not-found,skip,Unknown,
ainn_swap,ailayer,,not-found,skip,Unknown,
desyn_safe,ailayer,,not-found,skip,Unknown,
pell_network,ailayer,,not-found,skip,Unknown,
desyn_liquid_strategy,ailayer,,not-found,skip,Unknown,
gate,airdao,,not-found,skip,Unknown,
airdao_hera_pool,airdao,,not-found,skip,Unknown,
astra,airdao,,not-found,skip,Unknown,
firepotswap,airdao,,not-found,skip,Unknown,
harbor_liquid_staking,airdao,,not-found,skip,Unknown,
kosmos,airdao,,not-found,skip,Unknown,
common,aleph_zero_evm,,not-found,skip,Unknown,
alephium_bridge,alephium,,not-found,skip,Unknown,
alphbanx,alephium,,not-found,skip,Unknown,
