protocol,network,contract_address,source
orderly_bridge,abstract,,not-found
stargate_v2,abstract,,not-found
symbiosis,abstract,,not-found
logx_v2,abstract,,not-found
vertex_perps,abstract,,not-found
mondrian_swap,abstract,,not-found
noxa,abstract,,not-found
reservoir_tools_amm,abstract,,not-found
reservoir_tools_clmm,abstract,,not-found
witty,abstract,,not-found
zoo_fun,abstract,,not-found
zerolend_lending,abstract,,not-found
sablier_flow,abstract,,not-found
sablier_lockup,abstract,,not-found
gacha,abstract,,not-found
myriad_markets,abstract,,not-found
portal,acala,,not-found
acala_dollar,acala,,not-found
gate,acala,,not-found
acala_swap,acala,,not-found
starlay_finance,acala,,not-found
acala_lcdot,acala,,not-found
acala_liquid_staking,acala,,not-found
taiga_acala,acala,,not-found
acala_euphrates,acala,,not-found
awaken_swap,aelf,,not-found
superhero_dex,aeternity,,not-found
axelar,agoric,,not-found
inter_protocol,agoric,,not-found
gate,agoric,,not-found
bitfi_btc,ailayer,,not-found
desyn_basis_trading,ailayer,,not-found
gate,ailayer,,not-found
ainn_swap,ailayer,,not-found
desyn_safe,ailayer,,not-found
pell_network,ailayer,,not-found
desyn_liquid_strategy,ailayer,,not-found
gate,airdao,,not-found
airdao_hera_pool,airdao,,not-found
astra,airdao,,not-found
firepotswap,airdao,,not-found
harbor_liquid_staking,airdao,,not-found
kosmos,airdao,,not-found
common,aleph_zero_evm,,not-found
alephium_bridge,alephium,,not-found
alphbanx,alephium,,not-found
gate,alephium,,not-found
ayin,alephium,,not-found
elexium,alephium,,not-found
nightshade_finance,alephium,,not-found
phoenix_ergo,alephium,,not-found
alphpad,alephium,,not-found
algomint,algorand,,not-found
equito_finance,algorand,,not-found
glitter_finance,algorand,,not-found
pnetwork,algorand,,not-found
portal,algorand,,not-found
compx_cdp,algorand,,not-found
gard,algorand,,not-found
xbacked,algorand,,not-found
binance_cex,algorand,,not-found
bitfinex,algorand,,not-found
bitkub,algorand,,not-found
bitlo,algorand,,not-found
bitstamp,algorand,,not-found
blofin,algorand,,not-found
flipster,algorand,,not-found
gate,algorand,,not-found
htx,algorand,,not-found
indodax,algorand,,not-found
kucoin,algorand,,not-found
latoken,algorand,,not-found
nonkyc,algorand,,not-found
swissborg,algorand,,not-found
c3_exchange,algorand,,not-found
messina_bridge,algorand,,not-found
deridex,algorand,,not-found
deflex,algorand,,not-found
algodex,algorand,,not-found
algofi_swap,algorand,,not-found
humble_defi,algorand,,not-found
pact,algorand,,not-found
tinyman,algorand,,not-found
opulous,algorand,,not-found
vestige,algorand,,not-found
algofi_lend,algorand,,not-found
folks_finance_lending,algorand,,not-found
ultraswap,algorand,,not-found
galgo_liquid_governance,algorand,,not-found
messina_liquid_staking,algorand,,not-found
myth_finance_dualstake,algorand,,not-found
xalgo_liquid_staking,algorand,,not-found
algorai_finance,algorand,,not-found
silo_protocol,algorand,,not-found
compx_streaming,algorand,,not-found
alpha_arcade,algorand,,not-found
asa_gold,algorand,,not-found
lofty,algorand,,not-found
meld_gold,algorand,,not-found
vesta_equity,algorand,,not-found
reti_pooling,algorand,,not-found
cometa,algorand,,not-found
compx_yield,algorand,,not-found
yieldly,algorand,,not-found
tardly,algorand,,not-found
alvey_dex,alv,,not-found
ampleswap,alv,,not-found
meson,ancient8,,not-found
ancient8_swap,ancient8,,not-found
baryon_network,ancient8,,not-found
liquidops,ao,,not-found
gate,apechain,,not-found
gains_network,apechain,,not-found
logx_v2,apechain,,not-found
camelot_v2,apechain,,not-found
camelot_v3,apechain,,not-found
saru,apechain,,not-found
vapordex_v1,apechain,,not-found
vapordex_v2,apechain,,not-found
ape_express,apechain,,not-found
apebank,apechain,,not-found
fisclend_finance,apechain,,not-found
zenolend,apechain,,not-found
gamma,apechain,,not-found
steer_protocol,apechain,,not-found
clutch_markets,apechain,,not-found
apechainstake,apechain,,not-found
benddao_ape_staking,apechain,,not-found
kimberlite,apechain,,not-found
poly_network,aptos,,not-found
portal,aptos,,not-found
argo,aptos,,not-found
auro_finance,aptos,,not-found
thala_cdp,aptos,,not-found
binance_cex,aptos,,not-found
bitfinex,aptos,,not-found
bitkub,aptos,,not-found
bitlo,aptos,,not-found
blofin,aptos,,not-found
bybit,aptos,,not-found
fastex,aptos,,not-found
flipster,aptos,,not-found
gate,aptos,,not-found
hashkey_exchange,aptos,,not-found
kucoin,aptos,,not-found
mexc,aptos,,not-found
okx,aptos,,not-found
agdex,aptos,,not-found
merkle_trade,aptos,,not-found
mirage_protocol,aptos,,not-found
thetis_perps,aptos,,not-found
tsunamix,aptos,,not-found
animeswap,aptos,,not-found
aptoswap,aptos,,not-found
atodex,aptos,,not-found
aux_exchange,aptos,,not-found
baptswap_v1,aptos,,not-found
baptswap_v2,aptos,,not-found
baptswap_v2_1,aptos,,not-found
bridgers,aptos,,not-found
cellana_finance,aptos,,not-found
cetus_amm,aptos,,not-found
earnium,aptos,,not-found
econia,aptos,,not-found
houstonswap,aptos,,not-found
hyperion,aptos,,not-found
jujube_finance,aptos,,not-found
liquidswap,aptos,,not-found
obric,aptos,,not-found
pancakeswap_amm,aptos,,not-found
sushi_aptos,aptos,,not-found
tapp_exchange,aptos,,not-found
thalaswap,aptos,,not-found
thalaswap_v2,aptos,,not-found
thalaswap_v3,aptos,,not-found
aptoslaunch,aptos,,not-found
emojicoin_fun,aptos,,not-found
movegpt,aptos,,not-found
movepump,aptos,,not-found
aave_aptos,aptos,,not-found
abel_finance,aptos,,not-found
aptin_finance_v1,aptos,,not-found
aptin_finance_v2,aptos,,not-found
aries_markets,aptos,,not-found
echelon_market,aptos,,not-found
echo_lending,aptos,,not-found
joule_finance,aptos,,not-found
meso_finance,aptos,,not-found
superposition,aptos,,not-found
moar_market,aptos,,not-found
amnis_finance,aptos,,not-found
ditto,aptos,,not-found
echo_liquid_staking,aptos,,not-found
kofi_finance,aptos,,not-found
thala_lsd,aptos,,not-found
thala_vethl,aptos,,not-found
tortuga,aptos,,not-found
trustake,aptos,,not-found
bluemove_staking,aptos,,not-found
moveflow,aptos,,not-found
streamflow,aptos,,not-found
apollo_diversified_credit_securitize_fund,aptos,,not-found
blackrock_buidl,aptos,,not-found
libre_capital,aptos,,not-found
ondo_yield_assets,aptos,,not-found
propbase,aptos,,not-found
eternal_finance,aptos,,not-found
mole,aptos,,not-found
mosquitos_finance,aptos,,not-found
echo_strategy,aptos,,not-found
goblin,aptos,,not-found
moneyfi,aptos,,not-found
arbius,arbitrum,,not-found
arbiten,arbitrum,,not-found
beanstalk,arbitrum,,not-found
finext_finance,arbitrum,,not-found
gmcash,arbitrum,,not-found
lumi_finance,arbitrum,,not-found
ordernchaos,arbitrum,,not-found
ripae,arbitrum,,not-found
wonderly_finance,arbitrum,,not-found
bedrock_unibtc,arbitrum,,not-found
basisos,arbitrum,,not-found
desyn_basis_trading,arbitrum,,not-found
solv_basis_trading,arbitrum,,not-found
stables_labs_usdx,arbitrum,,not-found
theo_straddle_vaults,arbitrum,,not-found
umoja_ybtc,arbitrum,,not-found
zerobase_cedefi,arbitrum,,not-found
allbridge_core,arbitrum,,not-found
apx_bridge,arbitrum,,not-found
aster_bridge,arbitrum,,not-found
axelar,arbitrum,,not-found
axelar_cross_chain,arbitrum,,not-found
beamer_bridge,arbitrum,,not-found
cbridge,arbitrum,,not-found
connext,arbitrum,,not-found
debridge,arbitrum,,not-found
dexalot_portfolio,arbitrum,,not-found
edgex_bridge,arbitrum,,not-found
free_protocol,arbitrum,,not-found
hashport,arbitrum,,not-found
hyperliquid_bridge,arbitrum,,not-found
hyphen,arbitrum,,not-found
merlins_seal,arbitrum,,not-found
multichain,arbitrum,,not-found
nervebridge,arbitrum,,not-found
neuron,arbitrum,,not-found
orderly_bridge,arbitrum,,not-found
pnetwork,arbitrum,,not-found
poly_network,arbitrum,,not-found
polynomial_bridge,arbitrum,,not-found
portal,arbitrum,,not-found
pumpbtc,arbitrum,,not-found
relaychain,arbitrum,,not-found
renvm,arbitrum,,not-found
rhino_fi,arbitrum,,not-found
shimmerbridge,arbitrum,,not-found
solvbtc,arbitrum,,not-found
t3rn_bridge,arbitrum,,not-found
ulysses,arbitrum,,not-found
wan_bridge,arbitrum,,not-found
hats_v2,arbitrum,,not-found
core_bridge,arbitrum,,not-found
eventum_bridge,arbitrum,,not-found
rari_chain,arbitrum,,not-found
reya_bridge,arbitrum,,not-found
sanko_bridge,arbitrum,,not-found
xai_bridge,arbitrum,,not-found
abracadabra_spell,arbitrum,,not-found
angle,arbitrum,,not-found
button_wrappers,arbitrum,,not-found
davos_protocol,arbitrum,,not-found
defi_money,arbitrum,,not-found
dsu_money,arbitrum,,not-found
fluidity_money,arbitrum,,not-found
frankencoin,arbitrum,,not-found
gravita_protocol,arbitrum,,not-found
handle_fi,arbitrum,,not-found
nerite,arbitrum,,not-found
nuon_finance,arbitrum,,not-found
open_dollar,arbitrum,,not-found
overnight_finance,arbitrum,,not-found
preon_finance,arbitrum,,not-found
psy,arbitrum,,not-found
